Technique,Category,Subcategory (link to source code),Notes,Subfolder,Authors,Institution,function/module name,doi,Tester,Test status (empty/in-progress/complete)
DCE,Pharmacokinetic models,[2-cmp exchange](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to concentration values (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","TCXM, EnhToPKP, ConcToPKP",,MJT,completed
DCE,Pharmacokinetic models,[2-cmp exchange](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to signal incl. water exchange (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","TCXM, EnhToPKP, ConcToPKP",,MJT,completed
DCE,Pharmacokinetic models,[2-cmp uptake](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to concentration values (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","TCUM, EnhToPKP, ConcToPKP",,MJT,completed
DCE,Pharmacokinetic models,[2-cmp uptake](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to signal incl. water exchange (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","TCUM, EnhToPKP, ConcToPKP",,MJT,completed
DCE,Pharmacokinetic models,[extended Tofts](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to concentration values (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","ExtendedTofts, EnhToPKP, ConcToPKP",,ST/OGC,completed
DCE,Pharmacokinetic models,[extended Tofts](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to signal incl. water exchange (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","ExtendedTofts, EnhToPKP, ConcToPKP",,ST/OGC,completed
DCE,Pharmacokinetic models,[Patlak](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to concentration values (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","Patlak, EnhToPKP, ConcToPKP",,MJT,completed
DCE,Pharmacokinetic models,[Patlak](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to signal incl. water exchange (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","Patlak, EnhToPKP, ConcToPKP",,MJT,completed
DCE,Pharmacokinetic models,[Patlak](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),LLSQ fitting,MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",PatlakLinear,,MJT,completed
DCE,Pharmacokinetic models,[steady-state vp](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to concentration values (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","SteadyStateVp, EnhToPKP, ConcToPKP",,tbd,
DCE,Pharmacokinetic models,[steady-state vp](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to signal incl. water exchange (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","SteadyStateVp, EnhToPKP, ConcToPKP",,tbd,
DCE,Pharmacokinetic models,[Tofts](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to concentration values (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","Tofts, EnhToPKP, ConcToPKP",,ST/OGC,completed
DCE,Pharmacokinetic models,[Tofts](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),NLLS fitting to signal incl. water exchange (incl forward model),MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","Tofts,EnhToPKP, ConcToPKP",,ST/OGC,completed
DCE,Pharmacokinetic models,[extended Tofts](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),NLLS fitting (+forward model),OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK",fit_tofts_model,,ST/OGC,completed
DCE,Pharmacokinetic models,[2-cmp exchange](../src/original/OGJ_OsloU_NOR/MRImageAnalysis/DCE/Analyze.py),LLSQ fitting (+ forward model),OGJ_OsloU_NOR,Ole Gunnar Johansen,"University of Oslo, Norway","twoCXM, fitToModelLLSQ",,MJT,completed
DCE,Pharmacokinetic models,[extended Tofts](../src/original/OGJ_OsloU_NOR/MRImageAnalysis/DCE/Analyze.py),NLLS fitting (+ forward model),OGJ_OsloU_NOR,Ole Gunnar Johansen,"University of Oslo, Norway","ETM,  fitToModelNLLS, fitToModelNLLS_parallel",,ST/OGC,completed
DCE,Pharmacokinetic models,[extended Tofts](../src/original/OGJ_OsloU_NOR/MRImageAnalysis/DCE/Analyze.py),LLSQ fitting (+ forward model),OGJ_OsloU_NOR,Ole Gunnar Johansen,"University of Oslo, Norway","ETM, fitToModelLLSQ",,ST/OGC,completed
DCE,Pharmacokinetic models,[Tofts](../src/original/OGJ_OsloU_NOR/MRImageAnalysis/DCE/Analyze.py),NLLS fitting (+ forward model),OGJ_OsloU_NOR,Ole Gunnar Johansen,"University of Oslo, Norway","TM,  fitToModelNLLS, fitToModelNLLS_parallel",,ST/OGC,completed
DCE,Pharmacokinetic models,[Tofts](../src/original/OGJ_OsloU_NOR/MRImageAnalysis/DCE/Analyze.py),LLSQ fitting (+ forward model),OGJ_OsloU_NOR,Ole Gunnar Johansen,"University of Oslo, NOR","TM, fitToModelLLSQ",,ST/OGC,completed
DCE,Pharmacokinetic models,[1-cmp](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",OneCompartment,,tbd,
DCE,Pharmacokinetic models,[dual-inlet 1-cmp](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",DualInletOneCompartment,,tbd,
DCE,Pharmacokinetic models,[dual-inlet ext Tofts](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",DualInletExtendedTofts,,tbd,
DCE,Pharmacokinetic models,[dual-inlet high-flow 2-cmp Gadoxetate](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",DualInletconc_HF2CGM,,tbd,
DCE,Pharmacokinetic models,[extended Tofts](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",ExtendedTofts,,ST/OGC,completed
DCE,Pharmacokinetic models,[Tofts](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",Tofts,,ST/OGC,completed
DCE,Pharmacokinetic models,[high flow 2-cmp Gadoxetate](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",,,tbd,
DCE,Pharmacokinetic models,[Patlak](../src/original/ST_USyd_AUS/ModelDictionary.py),forward model,ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",PatlakModel,,MJT,completed
DCE,Signal to Concentration,[SPGR](../src/original/DS_BW_VanderBiltUMC_USA/dcemri.py),"two-steps: S->R1, R1->C",DS_BW_VanderBiltUMC_USA,"David Smith, Brian Welch","VanderBilt University Medical Center, USA","r1eff_to_conc, dce_to_r1eff",,tbd,
DCE,Signal to Concentration,[SPGR or GE-EPI](../src/original/LCB_BNI_USA/dce.py),,LCB_BNI_USA,Laura Bell,"Barrow Neurological Institute, USA","signal_to_conc, estimate_delta_R1",,LK,completed
DCE,Signal to concentration,[SPGR](../src/original/LEK_UoEdinburgh_UK/SignalToConcentration/SI2Conc.py),"reverse C->S also available",LEK_UoEdinburgh,Lucy Kershaw,"University of Edinburgh, UK",SI2Conc,,LK,completed
DCE,Signal to concentration,[SPGR](../src/original/MB_QBI_UoManchester_UK/QbiPy/dce_models/tissue_concentration.py),"reverse C->S also available",MB_QBI_UoManchester_UK,Michael Berks,"University of Manchester, UK",signal_to_concentration,https://doi.org/10.21105/joss.03523,LK,completed
DCE,Signal to concentration,[SPGR](../src/original/MJT_UoEdinburgh_UK/dce_fit.py),"two steps: S-> enhancement, enhancement -> C; reverse C->S also available",MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK","sign_to_enh, enh_to_conc",,LK,completed
DCE,Signal to concentration,[SPGR](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),"two steps: S->R1, R1 -> C; reverse C->S also available",OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK","dce_to_r1eff, r1eff_to_conc",,LK,completed
DCE,Signal to concentration,[SPGR](../src/original/ST_USyd_AUS/signals2conc.py),"reverse R1->C also available",ST_USydAUS_DCE,Sirisha Tadimalla,"University of Sydney, Australia",signals2conc,,LK,completed
DCE,T1,[VFA](../src/original/DS_BW_VanderBiltUMC_USA/dcemri.py),nonlinear,DS_BW_VanderBiltUMC_USA,"David Smith, Brian Welch","VanderBilt University Medical Center, USA",fit_R1,,tbd,
DCE,T1,[VFA](../src/original/ZA_McGill_CAN/vfa.py),despot,McGill_VFA,Zaki Ahmed,"McGill University, Canada",despot,,MJT,completed
DCE,T1,[VFA](../src/original/ZA_McGill_CAN/vfa.py),novifast,McGill_VFA,Zaki Ahmed,"McGill University, Canada",novifast,,MJT,completed
DCE,T1,[DESPOT1-HIFI](../src/original/MJT_UoEdinburgh_UK/t1_fit.py),Fit any combination of (IR-)SPGR scans to estimate T1,MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",HIFI,,MJT,in-progress
DCE,T1,[VFA](../src/original/MJT_UoEdinburgh_UK/t1_fit.py),linear,MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",VFALinear,,MJT,complete
DCE,T1,[VFA](../src/original/MJT_UoEdinburgh_UK/t1_fit.py),nonlinear,MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",VFANonlinear,,MJT,complete
DCE,T1,[VFA](../src/original/MJT_UoEdinburgh_UK/t1_fit.py),two flip angles,MJT_UoEdinburgh_UK,Michael Thrippleton,"University of Edinburgh, UK",VFA2Points,,tbd,
DCE,T1,[VFA](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),two flip angles (linear),OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK",R1_two_fas,,MJT,competed
DCE,T1,[VFA](../src/original/OG_MO_AUMC_ICR_RMH_NL_UK/ExtendedTofts/DCE.py),nonlinear,OG_MO_AUMC_ICR_RMH,"Oliver Gurney-Champion, Matthew Orton","Amsterdam University Medical Center, the Netherlands, Institute of Cancer Research, UK",R1_VFA,,MJT,competed
DCE,T1,[VFA](../src/original/ST_USyd_AUS/VFAT1mapping.py),linear,ST_Sydney_AUS_T1,Sirisha Tadimalla,"University of Sydney, Australia",VFAT1mapping,,MJT,completed
DCE,T1,[VFA](../src/original/ST_USyd_AUS/VFAT1mapping.py),nonlinear,ST_Sydney_AUS_T1,Sirisha Tadimalla,"University of Sydney, Australia",VFAT1mapping,,MJT,completed
DCE/DSC,AIF deconvolution,[Volterra discretization with L-curve criterion](../src/original/SR_TBG_BNIPhoenix_USA/AIFDeconvolution/AIF_deconvolution.py),,SR_TBG_BNI_PhoenixUSA,"Sudarshan Ragunathan, Laura Bell","Barrow Neurological Institute, USA",AIFdeconvolution,,JA,completed
DCE/DSC,Miscellaneous,[calculate SNR](../src/original/DS_BW_VanderBiltUMC_USA/dcemri.py),,DS_BW_VanderBiltUMC_USA,"David Smith, Brian Welch","VanderBilt University Medical Center, USA",signal_to_noise_ratio,,tbd,
DCE/DSC,Miscellaneous,[calculate enhancement ratio](../src/original/DS_BW_VanderBiltUMC_USA/dcemri.py),,DS_BW_VanderBiltUMC_USA,"David Smith, Brian Welch","VanderBilt University Medical Center, USA",signal_enhancement_ratio,,tbd,
DSC,Input Functions,[automatic AIF selection](../src/original/JBJA_GUSahlgrenska_SWE/AIF_selection_auto/AIF_selection_automatic.py),"fully automatic, semi-automatic",JBJA_GUSahlgrenskaSWE,"Jesper Browall, Jonathan Arvidsson","Sahlgrenska University Hospital and Gothenburg University, Gothenburg, Sweden",AIF_selection_automatic.py,DOI: 10.1002/mrm.20759,tbd,
DSC,Leakage correction,[BSW](../src/original/SR_TBG_BNIPhoenix_USA/LeakageCorrection/bsw_leakagecorr.py),,SR_TBG_BNI_PhoenixUSA,"Sudarshan Ragunathan, Laura Bell","Barrow Neurological Institute, USA",BSWleakagecorr,,SR,in-progress
DSC,Parameter derivation,"[CBV,CBF,MTT](../src/original/SR_TBG_BNIPhoenix_USA/DSCparameters/DSC_parameters.py)",,SR_TBG_BNI_PhoenixUSA,"Sudarshan Ragunathan, Laura Bell","Barrow Neurological Institute, USA",DSCparameters,,tbd,
DSC,Signal to deltaR2*,[single echo](../src/original/LCB_BNI_USA/dsc.py),,LCB_BNI_USA,Laura Bell,"Barrow Neurological Institute, USA",,estimate_delta_R2s,tbd,
DSC,Signal to deltaR2*,[dual echo](../src/original/LCB_BNI_USA/dsc.py),,LCB_BNI_USA,Laura Bell,"Barrow Neurological Institute, USA",,"estimate_delta_R2s, estimate_delta_R2s_dual_echo",tbd,
DSC,Signal to R2*,[dual echo](../src/original/LCB_BNI_USA/dsc.py),,LCB_BNI_USA,Laura Bell,"Barrow Neurological Institute, USA",,estimate_R2s,tbd,
